movieId,title,genres,poster_url
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://images-na.ssl-images-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg
13,Balto (1995),Adventure|Animation|Children,https://images-na.ssl-images-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@..jpg
14,Nixon (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BYWZmNjkzOGItNmI4ZS00MDQ1LThhMzQtOTI3MThjOTI4Njg2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@..jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@..jpg
16,Casino (1995),Crime|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzIyMjI1MV5BMl5BanBnXkFtZTgwMjkyMzUzMzE@..jpg
17,Sense and Sensibility (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
18,Four Rooms (1995),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5ODk5MDAwN15BMl5BanBnXkFtZTYwNDA3MjE5..jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@..jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@..jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BMTlmNzhiMWEtOWVjZC00NmM0LTgxNDItMDJmYTkxYTZkY2FjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BODg4NzA0MTktOGU5ZS00ODlkLWE3ZmQtYjAzNjNmM2E3NmEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg
23,Assassins (1995),Action|Crime|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BNGQxNDgzZWQtZTNjNi00M2RkLWExZmEtNmE1NjEyZDEwMzA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
24,Powder (1995),Drama|Sci-Fi,https://images-na.ssl-images-amazon.com/images/M/MV5BZTUxMzY1N2YtZjM5NC00MmUzLThkNzEtYjNiYzg0MzI4MDc5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg
25,Leaving Las Vegas (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@..jpg
26,Othello (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTFkZmQ5OWEtNjFmMC00ZTI2LWE0ZWUtN2VhOWE1MzdiOGJhXkEyXkFqcGdeQXVyMTQ4NDY5OTc@..jpg
27,Now and Then (1995),Children|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMGE1ZTQ0ZTEtZTEwZS00NWE0LTlmMDUtMTE1ZWJiZTYzZTQ2XkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg
28,Persuasion (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BZjNkNGJjYWEtM2IyNi00ZjM5LWFlYjYtYjQ4NTU5MGFlMTI2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg
31,Dangerous Minds (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BNThmZGJiYzctOTdhNS00ODhiLTg4NzctNDc1ZDRmOGU1MTJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@..jpg
33,Wings of Courage (1995),Adventure|Romance|IMAX,https://images-na.ssl-images-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
34,Babe (1995),Children|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEwZDUyODktOGVmOC00ZjIyLTlmM2YtZDZjY2Y2ZWE4ZjMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
35,Carrington (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BZWY3OWY3MjUtN2E3NS00M2RkLWI5MWUtMmI4MjQ0MjFmZjM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
36,Dead Man Walking (1995),Crime|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BNDE0NTQ1NjQzM15BMl5BanBnXkFtZTYwNDI4MDU5..jpg
39,Clueless (1995),Comedy|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2NTQ0NzgtODUzYy00NThlLWFhNDEtNjhkY2M0M2EwY2ZmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
40,"Cry, the Beloved Country (1995)",Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzgxNTk0OF5BMl5BanBnXkFtZTcwOTAzNjgyMQ@@..jpg
41,Richard III (1995),Drama|War,https://images-na.ssl-images-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
42,Dead Presidents (1995),Action|Crime|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
43,Restoration (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BYzhkNjE2YTQtYWQzNS00ZTkwLTg4YzAtNjNlYTRlMGEzYjcxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://images-na.ssl-images-amazon.com/images/M/MV5BNzhkNjFlNDQtMDYxNy00NGU5LWE4YmItOWIyYzg5MTNmNzcxXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
45,To Die For (1995),Comedy|Drama|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTQxMjc5MV5BMl5BanBnXkFtZTcwMjYxODcxMQ@@..jpg
46,How to Make an American Quilt (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BMGIxN2NiMDYtYjQ0YS00M2ViLTkzYTUtNDdhYWZmOTM0ZmJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ1MDA0YWMtMDliZC00N2ZhLWIwZDItNjhjNTMzYTMwMWU4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
49,When Night Is Falling (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VkMzZlMTctZjVlOS00NmQ1LTg1ZDItMDc5NzhlNDRhMjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BZmJmMTM5YzItOTU2OS00ZGUwLWI3MzgtMmYwMWY2YmFlM2Q1XkEyXkFqcGdeQXVyNjg3MDM4Mzc@..jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMzk0ODQyNV5BMl5BanBnXkFtZTcwODk0ODE1NA@@..jpg
53,Lamerica (1994),Adventure|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@..jpg
54,"Big Green, The (1995)",Children|Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BZTg1Mzk1NjAtNGFlOS00NzdlLWI0NTgtYzlmNTUzZGQ0NjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
55,Georgia (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzkwMTk0OF5BMl5BanBnXkFtZTcwMjYxMTI1MQ@@..jpg
57,Home for the Holidays (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BYzAyYzQ0ODQtNzNhMi00NWVkLTk1YTItODE4Y2U4YmE0NDgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,https://images-na.ssl-images-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,https://images-na.ssl-images-amazon.com/images/M/MV5BZGJhNDdmMWMtNzZiYy00MmFiLThjNmUtYTE1ZjRkNjdjYmQ5XkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg
61,Eye for an Eye (1996),Drama|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BNTliYTI1YTctMTE0Mi00NDM0LThjZDgtYmY3NGNiODBjZjAwXkEyXkFqcGdeQXVyMTAwMzUyOTc@..jpg
62,Mr. Holland's Opus (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BYWEyYTQzNzQtZTg5OS00NDhkLTg1NjYtMzA5Y2MyYjYzNWQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MzQ3ODE1OV5BMl5BanBnXkFtZTcwNDU4NjI5MQ@@..jpg
64,Two if by Sea (1996),Comedy|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@..jpg
65,Bio-Dome (1996),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BY2EyZDlhNjItODYzNi00Mzc3LWJjOWUtMTViODU5MTExZWMyL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NjU4NDUzMl5BMl5BanBnXkFtZTgwMjc4NDgzMTE@..jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BZmJmMTM5YzItOTU2OS00ZGUwLWI3MzgtMmYwMWY2YmFlM2Q1XkEyXkFqcGdeQXVyNjg3MDM4Mzc@..jpg
69,Friday (1995),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@..jpg
71,Fair Game (1995),Action,https://images-na.ssl-images-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@..jpg
72,Kicking and Screaming (1995),Comedy|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@..jpg
73,"Misérables, Les (1995)",Drama|War,https://images-na.ssl-images-amazon.com/images/M/MV5BY2I1OTY2NmUtMGVlZi00NjNmLThkNTgtMjExMzRhOTM2MDJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
74,Bed of Roses (1996),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BN2MzYjIxMjktNmMwOS00M2U0LThiYjktOTg5MTM3OTFjYWQ0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@..jpg
75,Big Bully (1996),Comedy|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BNDA2MTYyNDE4NV5BMl5BanBnXkFtZTcwOTY5ODA3NA@@..jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BZmQ1ZDc0MDAtNjVmYi00MDkxLWE5MDItZmJmNjcxZGEyMWRjXkEyXkFqcGdeQXVyNjUwNzk3NDc@..jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BMjZmZjM1NWEtYTllYy00NmIyLWEzN2EtZmQ5Yjk1ODAyZmE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
79,"Juror, The (1996)",Drama|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BYmFmOGZjYTItYjY1ZS00OWRiLTk0NDgtMjQ5MzBkYWE2YWE0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BZjU2ODlmZWMtODEwZS00NTQ0LTk1ZDYtYzk0ZjE3ZGZhMGM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BYjg5ZDE3NTUtMjQ2Ni00MzgwLWI3ZjMtYTY3NDI0YjFjNjgyXkEyXkFqcGdeQXVyMTM2Mzg4MA@@..jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@..jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Q3YTU4OTgtZTc0My00YmY1LWJmOTQtMmMwNGE2ZjBmNmIxXkEyXkFqcGdeQXVyMTAwMzUyOTc@..jpg
84,Last Summer in the Hamptons (1995),Comedy|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BNDcyMGRmMTMtZDhiYy00YmM4LTkwNDQtM2FlOGViYTgwZmRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
85,Angels and Insects (1995),Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BNDA2Yzg3ZGUtMmJlOC00NzY2LWIxMDYtODcwOTM0ZWZhNWQ0XkEyXkFqcGdeQXVyNjExODE1MDc@..jpg
86,White Squall (1996),Action|Adventure|Drama,https://image.tmdb.org/t/p/w500/muhTVa52IufjTaqNseXFQUAEuyG.jpg
87,Dunston Checks In (1996),Children|Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BNTNlYjBjMGEtOTFkZS00MjM5LTk2ZTktYWVmZTc4NzE3NzAxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
88,Black Sheep (1996),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BZTNiMWUzNGItMzYzMy00MWZmLTk3MTQtOWUxNDQ1ZDljMGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
89,Nick of Time (1995),Action|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg
90,"Journey of August King, The (1995)",Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BNjU0YzdhNjYtNzdlZi00ZDIwLWIzNWUtOWE2NmVjOGI2ZThiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BZTJkN2VhNGQtOWYwMS00NjYwLWJhYTgtMGNmMDkzMDBlZDdhXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@..jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE0N2U2YzItM2NmNy00YTE1LWE1ZjktNWRlMWFhYTQzNzgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@..jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BN2FhOTQ2MmQtNTY0OC00NWYyLThjNjMtZmZiOTBmYTY4MmM2XkEyXkFqcGdeQXVyMzM4MjM0Nzg@..jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@..jpg
100,City Hall (1996),Drama|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxNzY3MzUxOV5BMl5BanBnXkFtZTcwMDA0NjMyNA@@..jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BOTc2NzM1ODgtM2RkYi00M2U4LWE4NzEtMDMzZGUzYmI1ZDUzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg
102,Mr. Wrong (1996),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MzM0MjcxMF5BMl5BanBnXkFtZTgwODQ0MzcxMTE@..jpg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ5NzdkOWEtNjg3Yi00NzY1LWE1NzItOWFiOGFiYzRiYmJjXkEyXkFqcGdeQXVyNzc5MjA3OA@@..jpg
104,Happy Gilmore (1996),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BMGE2MDBhODctN2JhMy00NGRjLWFlZjAtNjk5MGUwNTBmMzJlXkEyXkFqcGdeQXVyMTQ2MjQyNDc@..jpg
105,"Bridges of Madison County, The (1995)",Drama|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BN2M5NmJlNzEtYjkyNi00NTY0LWIzMGQtMGZmZjRjY2I3NzgyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzNzA0NDU3OV5BMl5BanBnXkFtZTYwMDExODg5..jpg
108,Catwalk (1996),Documentary,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMzE4NDUzNl5BMl5BanBnXkFtZTcwOTE4MjkxMQ@@..jpg
110,Braveheart (1995),Action|Drama|War,https://images-na.ssl-images-amazon.com/images/M/MV5BNTU2NzQyNDQ0NV5BMl5BanBnXkFtZTcwNTk4NjIyMQ@@..jpg
111,Taxi Driver (1976),Crime|Drama|Thriller,https://images-na.ssl-images-amazon.com/images/M/MV5BOWM0MTA4NjItMzM3ZS00NDJmLTg3NWItNGE5ODIyOGJhNzQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,https://images-na.ssl-images-amazon.com/images/M/MV5BZmUzZGFiYTYtY2I3Ny00MGJmLTlmZTItNTNhZTJjZGQyNDdiXkEyXkFqcGdeQXVyNzc5MjA3OA@@..jpg
113,Before and After (1996),Drama|Mystery,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRmOGE1N2ItOTM4NC00YjU3LWFjNzAtZTkxNzlmM2VkNjFmXkEyXkFqcGdeQXVyMjQzMzQzODY@..jpg
114,Margaret's Museum (1995),Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNDMxOTIxOF5BMl5BanBnXkFtZTcwODA1NTcyMQ@@..jpg
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMDcyNjQ4N15BMl5BanBnXkFtZTcwMTI2NjcyMQ@@..jpg
116,Anne Frank Remembered (1995),Documentary,https://images-na.ssl-images-amazon.com/images/M/MV5BZWI3MTA3NGEtYTg4ZC00MzgwLTliMGQtMjU2MWM5MmVmYThhXkEyXkFqcGdeQXVyNzc5MjA3OA@@..jpg
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BZDJjOTE0N2EtMmRlZS00NzU0LWE0ZWQtM2Q3MWMxNjcwZjBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
118,If Lucy Fell (1996),Comedy|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BODExYTM0MzEtZGY2Yy00N2ExLTkwZjItNGYzYTRmMWZlOGEzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg
121,"Boys of St. Vincent, The (1992)",Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMGQwNDNkMmItYWY1Yy00YTZmLWE5OTAtODU0MGZmMzQ1NDdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
122,Boomerang (1992),Comedy|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE3ZTc5ZjctN2RhZS00NTljLWFkNzgtYWQ1ZjA2NTJmOWE4XkEyXkFqcGdeQXVyNjE5MjUyOTM@..jpg
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BZmJmMTM5YzItOTU2OS00ZGUwLWI3MzgtMmYwMWY2YmFlM2Q1XkEyXkFqcGdeQXVyNjg3MDM4Mzc@..jpg
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NjUwODY0Nl5BMl5BanBnXkFtZTcwMjYyODcxMQ@@..jpg
125,Flirting With Disaster (1996),Comedy,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMDA2NzEyMl5BMl5BanBnXkFtZTgwNTA2MjgxMTE@..jpg
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NjU2NjgyM15BMl5BanBnXkFtZTcwMTgzNjUyMQ@@..jpg
129,Pie in the Sky (1996),Comedy|Romance,https://images-na.ssl-images-amazon.com/images/M/MV5BNjcwN2RhYWYtOWY1NC00M2JkLTllYWItYzZhOTg4NjZmMDcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
